Product_Name,Price,Discount,Category
Whole Cranberries Coated In Dairy Milk Chocolate,₹299,,?q=dairy&nc=as
"Coconut Milk - Alternative To Dairy Milk, Healthy",₹130,,?q=dairy&nc=as
"OatWOW Rich Cocoa Oat Milk - Dairy-Free Alternative, Chocolate Flavoured Creamy",₹399,,?q=dairy&nc=as
"Nutter Plant Based Herbs & Garlic Butter - Vegan, Dairy & Gluten Free",₹45,,?q=dairy&nc=as
Authentic Belgian Waffles - Dairy Free & No Added Preservatives,₹150,,?q=dairy&nc=as
"Dairy Milk - Imported, Classic, Creamy Taste",₹150,,?q=dairy&nc=as
"Dairy Milk - Fruit & Nut Imported, Imported, Rich Classic Taste",₹220,,?q=dairy&nc=as
Nutty Kulfi Madbury Chocolate Bar,₹60,,?q=dairy&nc=as
Tricolor Unicorn Ice cream,₹240,,?q=dairy&nc=as
Choco Brownie Fudge Ice Cream,₹395.08,,?q=dairy&nc=as
Processed Cheese - Fresh Garlic,₹300,,?q=dairy&nc=as
"Vegan Energy Bar - Fig Apricot & Orange, Dairy-Free, No Added Sugar, Natural",₹159,,?q=dairy&nc=as
"Plant Based Drink - Original, Made With Sprouted Millets, Creamy, Dairy Free",₹120,,?q=dairy&nc=as
Dairy Based Beverage Mix - Royale Chocolate Flavour,₹350,,?q=dairy&nc=as
"OatWOW Vanilla Oat Milk - Dairy-Free Alternative, Vanilla Flavoured Creamy, Lactose-Free",₹281.01,,?q=dairy&nc=as
"Classic Crunchy Peanut Butter - High Natural Protein, No Added Colour, Dairy Free",₹225,,?q=dairy&nc=as
"Daily Nutrition Shake - Vegan, Rich In Calcium, Dairy Free, Vanilla Almond",₹300,,?q=dairy&nc=as
Mini Bocconcini Cheese,₹135,,?q=dairy&nc=as
"Plant Based Oat Drink - Dairy & Gluten Free, No Added Sugar",₹220,,?q=dairy&nc=as
"Cheese - Slice, Herbs & Spices",₹495,,?q=dairy&nc=as
"Plant Based Drink - Made With Sprouted Millets, Creamy, Dairy Free, Chocolate",₹2102,,?q=dairy&nc=as
"Coconut Milk - Rich, Creamy, Dairy Free, For Cooking & Baking",₹65,,?q=dairy&nc=as
"Coconut Cream - Thick, Creamy, Dairy Free, For Cooking & Baking",₹447,,?q=dairy&nc=as
Smoked Processed Cheese - Black Pepper,₹300,,?q=dairy&nc=as
A2 Cow Ghee,,,?q=dairy&nc=as
"Chocolate Oat Drink - Stevia Based, Non-dairy, Vegan, Nut Free, No-added Sugar",,,?q=dairy&nc=as
"Dairy Rich Home Delights - Milk Chocolate, Delectable & Smooth",,,?q=dairy&nc=as
Milk Drops,,,?q=dairy&nc=as
"Dark Chocolate Rock Salt Biscotti - Gluten & Dairy Free, No Preservatives",,,?q=dairy&nc=as
"Dairy Milk - Triple Chocolate Imported, Classic, Creamy Taste",,,?q=dairy&nc=as
"Mango Flavoured Milk - Nutritious, Dairy-Based Drink",,,?q=dairy&nc=as
"5-Minute Badam Kheer - 4 Ingredients, 86% Almonds - No Chemicals, Dairy Free",,,?q=dairy&nc=as
100% Tender Coconut Water,₹109,39% OFF,?q=beverages&nc=as
Fruit Juice - Orange Drink,₹435,,?q=beverages&nc=as
Tender Coconut Water - With Pulpy Malai,₹49,18% OFF,?q=beverages&nc=as
Diet Coke Soft Drink,₹228,₹12 OFF,?q=beverages&nc=as
Fresh 'N' Juicy Mango Drink,₹37.6,6% OFF,?q=beverages&nc=as
Instant Drink Mix - Mango,₹246.4,12% OFF,?q=beverages&nc=as
Valencia Orange Juice - 100% Cold Pressed,₹39,70% OFF,?q=beverages&nc=as
Soft Drink,₹107.16,11% OFF,?q=beverages&nc=as
Soft Drink,₹142.2,28% OFF,?q=beverages&nc=as
Mango Juice - 100% Cold Pressed,₹75,24% OFF,?q=beverages&nc=as
Apple Juice Drink,₹9.4,6% OFF,?q=beverages&nc=as
Juice - Sparkling Apple,₹126,₹14 OFF,?q=beverages&nc=as
Sparkling Water - Club Soda,₹56.4,6% OFF,?q=beverages&nc=as
Aromatic Spiced Bitters - Non-alcoholic,₹1250,59% OFF,?q=beverages&nc=as
Berry Delight Juice - 100% Cold Pressed,₹69,15% OFF,?q=beverages&nc=as
Orange Bitters - Non-alcoholic,₹1250,25% OFF,?q=beverages&nc=as
Fruit Juice - Mango,₹118.44,,?q=beverages&nc=as
Swing Juicier Drink - Lush Lychee,₹60,,?q=beverages&nc=as
Mango Drink,₹149.6,16% OFF,?q=beverages&nc=as
"Apple Juice - Rich In Vitamin D, No Added Preservatives",₹120,6% OFF,?q=beverages&nc=as
Soft Drink With Real Lemon Juice,₹40,25% OFF,?q=beverages&nc=as
Sugar Free Energy Drink,₹417.6,15% OFF,?q=beverages&nc=as
Fizz Jeera Masala Soda,₹89.3,19% OFF,?q=beverages&nc=as
Soft Drink - Lime & Lemoni Flavoured,₹74,6% OFF,?q=beverages&nc=as
Soft Drink,₹144,₹17 OFF,?q=beverages&nc=as
Soft Drink - Refreshing,₹97.2,₹14 OFF,?q=beverages&nc=as
Club Soda - Evervess,₹18.8,,?q=beverages&nc=as
Plant-Based Soy Beverage - Original,₹272.6,,?q=beverages&nc=as
Plant-Based Soy Beverage - Elaichi,₹160,,?q=beverages&nc=as
"Energy Drink - Caffeinated Beverage, Rich In Vitamin B, Berry Blast",₹60,,?q=beverages&nc=as
Zero Sugar Mojito Non-Alcoholic Beverage Cocktail Mixer,₹99,,?q=beverages&nc=as
"Sparkling Beverage - Ginger Ale, Finely Crafted, Natural Flavour",₹480,,?q=beverages&nc=as
"Coconut Drink - Real Fruit Juice, Ready To Serve Beverage, Coco Litchi",₹40,,?q=beverages&nc=as
Fruit Beverage - Ready To Serve,₹24,,?q=beverages&nc=as
Barista Soy Edition Beverage,₹161,,?q=beverages&nc=as
"The Green Edition Energy Drink - Dragon Fruit Flavour, Caffeinated Beverage",₹125,,?q=beverages&nc=as
The New Old Fashioned Cocktail Mixer - Ready To Serve Fruit Beverage,₹792,,?q=beverages&nc=as
Enriched Soy Beverage - Sweetened Regular Malt,₹390,,?q=beverages&nc=as
Lychee Drink Fruit Beverage,₹30,,?q=beverages&nc=as
Enriched Soy Beverage - with Green Tea Extract Sweetened,,,?q=beverages&nc=as
"Festive Delight - Assorted Gift Pack, Ready To Serve Fruit Beverage",,,?q=beverages&nc=as
Guava Fruit Beverage,,,?q=beverages&nc=as
100% Tender Coconut Water,₹109,39% OFF,?q=beverages&nc=as
Fruit Juice - Orange Drink,₹435,,?q=beverages&nc=as
Tender Coconut Water - With Pulpy Malai,₹49,18% OFF,?q=beverages&nc=as
Diet Coke Soft Drink,₹228,₹12 OFF,?q=beverages&nc=as
Fresh 'N' Juicy Mango Drink,₹37.6,6% OFF,?q=beverages&nc=as
Instant Drink Mix - Mango,₹246.4,12% OFF,?q=beverages&nc=as
Valencia Orange Juice - 100% Cold Pressed,₹39,70% OFF,?q=beverages&nc=as
Soft Drink,₹107.16,11% OFF,?q=beverages&nc=as
Soft Drink,₹142.2,28% OFF,?q=beverages&nc=as
Mango Juice - 100% Cold Pressed,₹75,24% OFF,?q=beverages&nc=as
Apple Juice Drink,₹9.4,6% OFF,?q=beverages&nc=as
Juice - Sparkling Apple,₹126,₹14 OFF,?q=beverages&nc=as
Sparkling Water - Club Soda,₹56.4,6% OFF,?q=beverages&nc=as
Aromatic Spiced Bitters - Non-alcoholic,₹1250,59% OFF,?q=beverages&nc=as
Berry Delight Juice - 100% Cold Pressed,₹69,15% OFF,?q=beverages&nc=as
Orange Bitters - Non-alcoholic,₹1250,25% OFF,?q=beverages&nc=as
Fruit Juice - Mango,₹118.44,,?q=beverages&nc=as
Swing Juicier Drink - Lush Lychee,₹60,,?q=beverages&nc=as
Mango Drink,₹149.6,16% OFF,?q=beverages&nc=as
"Apple Juice - Rich In Vitamin D, No Added Preservatives",₹120,6% OFF,?q=beverages&nc=as
Soft Drink With Real Lemon Juice,₹40,25% OFF,?q=beverages&nc=as
Sugar Free Energy Drink,₹417.6,15% OFF,?q=beverages&nc=as
Fizz Jeera Masala Soda,₹89.3,19% OFF,?q=beverages&nc=as
Soft Drink - Lime & Lemoni Flavoured,₹74,6% OFF,?q=beverages&nc=as
Soft Drink,₹144,₹17 OFF,?q=beverages&nc=as
Soft Drink - Refreshing,₹97.2,₹14 OFF,?q=beverages&nc=as
Club Soda - Evervess,₹18.8,,?q=beverages&nc=as
Plant-Based Soy Beverage - Original,₹272.6,,?q=beverages&nc=as
Plant-Based Soy Beverage - Elaichi,₹160,,?q=beverages&nc=as
"Energy Drink - Caffeinated Beverage, Rich In Vitamin B, Berry Blast",₹60,,?q=beverages&nc=as
Zero Sugar Mojito Non-Alcoholic Beverage Cocktail Mixer,₹99,,?q=beverages&nc=as
"Sparkling Beverage - Ginger Ale, Finely Crafted, Natural Flavour",₹480,,?q=beverages&nc=as
"Coconut Drink - Real Fruit Juice, Ready To Serve Beverage, Coco Litchi",₹40,,?q=beverages&nc=as
Fruit Beverage - Ready To Serve,₹24,,?q=beverages&nc=as
Barista Soy Edition Beverage,₹161,,?q=beverages&nc=as
"The Green Edition Energy Drink - Dragon Fruit Flavour, Caffeinated Beverage",₹125,,?q=beverages&nc=as
The New Old Fashioned Cocktail Mixer - Ready To Serve Fruit Beverage,₹792,,?q=beverages&nc=as
Enriched Soy Beverage - Sweetened Regular Malt,₹390,,?q=beverages&nc=as
Lychee Drink Fruit Beverage,₹30,,?q=beverages&nc=as
Enriched Soy Beverage - with Green Tea Extract Sweetened,,,?q=beverages&nc=as
"Festive Delight - Assorted Gift Pack, Ready To Serve Fruit Beverage",,,?q=beverages&nc=as
Guava Fruit Beverage,,,?q=beverages&nc=as
Butter Murukku,₹58.5,10% OFF,?q=snacks&nc=as
Moong Dal Namkeen,₹570,10% OFF,?q=snacks&nc=as
Ribbon Pakoda,₹58.5,10% OFF,?q=snacks&nc=as
Namkeen - Kodubale,₹58.5,6% OFF,?q=snacks&nc=as
Namkeen - Khatta Meetha,₹56.4,10% OFF,?q=snacks&nc=as
Namkeen - Mini Bhakarwadi,₹130,34% OFF,?q=snacks&nc=as
Madras Mixture,₹58.5,37% OFF,?q=snacks&nc=as
Murukku,₹65,20% OFF,?q=snacks&nc=as
Butter Murukku,₹69,6% OFF,?q=snacks&nc=as
Kerala Rice Murukku,₹79,6% OFF,?q=snacks&nc=as
Namkeen - Tasty Nuts,₹165,39% OFF,?q=snacks&nc=as
Namkeen - Masala Kaju,₹100,17% OFF,?q=snacks&nc=as
Tasty Peanuts - Spice Coated,₹117,10% OFF,?q=snacks&nc=as
Namkeen - Salted Peanut,₹56.4,31% OFF,?q=snacks&nc=as
Namkeen - Lite Chiwda,₹9.4,6% OFF,?q=snacks&nc=as
Ragi Sticks - Achari Masala,₹76.8,18% OFF,?q=snacks&nc=as
"Kerala Banana Chips - Original Style, Thin & Crispy, Delicious",₹157.32,39% OFF,?q=snacks&nc=as
Khara Boondi,₹58.5,20% OFF,?q=snacks&nc=as
Shankarpali Sweet - Mithai,₹75,39% OFF,?q=snacks&nc=as
Namkeen - Lite Chiwda,₹56.4,38% OFF,?q=snacks&nc=as
Khatta Meetha,₹120,31% OFF,?q=snacks&nc=as
Gujarati Besan Papdi,₹67,6% OFF,?q=snacks&nc=as
West Indies Hot N Sweet Potato Chips - Crispy Chips & Snacks,₹80,₹4 OFF,?q=snacks&nc=as
Quinoa Puffs - Onion Masala,₹76.8,37% OFF,?q=snacks&nc=as
Tamil Nadu Madras Mixture,₹65,10% OFF,?q=snacks&nc=as
Chaat Papdi - Crispy,₹150,22% OFF,?q=snacks&nc=as
Mixture Namkeen,₹42.3,25% OFF,?q=snacks&nc=as
Makhana - Cream & Onion,₹116.4,₹11 OFF,?q=snacks&nc=as
"Chegodi, Telugu Speciality Snacks",₹69,33% OFF,?q=snacks&nc=as
Tapioca Chips Chilly,₹40,37% OFF,?q=snacks&nc=as
"Cornflakes Mixture - Namkeen, No Transfats Or Cholesterol, Evening Teatime Snack",₹49.5,,?q=snacks&nc=as
Namkeen - Tasty Nuts Spiced Coated Fried Peanuts,₹95,,?q=snacks&nc=as
Phalhari Chiwda Namkeen,₹50,,?q=snacks&nc=as
Masala Peanut,₹65,,?q=snacks&nc=as
Chana Jor Garam,₹45,,?q=snacks&nc=as
All In One Mixture,₹114,,?q=snacks&nc=as
Nacho Chips - Nacho Cheese Flavour,₹112.8,,?q=snacks&nc=as
Bhujia Sev,₹164.5,,?q=snacks&nc=as
Good Day Chocochip Cookies,₹93.34,,?q=snacks&nc=as
"Chekkalu, Telugu Speciality Snacks",₹69,,?q=snacks&nc=as
Butter Murukku,₹58.5,10% OFF,?q=snacks&nc=as
Moong Dal Namkeen,₹570,10% OFF,?q=snacks&nc=as
Ribbon Pakoda,₹58.5,10% OFF,?q=snacks&nc=as
Namkeen - Kodubale,₹58.5,6% OFF,?q=snacks&nc=as
Namkeen - Khatta Meetha,₹56.4,10% OFF,?q=snacks&nc=as
Namkeen - Mini Bhakarwadi,₹130,34% OFF,?q=snacks&nc=as
Madras Mixture,₹58.5,37% OFF,?q=snacks&nc=as
Murukku,₹65,20% OFF,?q=snacks&nc=as
Butter Murukku,₹69,6% OFF,?q=snacks&nc=as
Kerala Rice Murukku,₹79,6% OFF,?q=snacks&nc=as
Namkeen - Tasty Nuts,₹165,39% OFF,?q=snacks&nc=as
Namkeen - Masala Kaju,₹100,17% OFF,?q=snacks&nc=as
Tasty Peanuts - Spice Coated,₹117,10% OFF,?q=snacks&nc=as
Namkeen - Salted Peanut,₹56.4,31% OFF,?q=snacks&nc=as
Namkeen - Lite Chiwda,₹9.4,6% OFF,?q=snacks&nc=as
Ragi Sticks - Achari Masala,₹76.8,18% OFF,?q=snacks&nc=as
"Kerala Banana Chips - Original Style, Thin & Crispy, Delicious",₹157.32,39% OFF,?q=snacks&nc=as
Khara Boondi,₹58.5,20% OFF,?q=snacks&nc=as
Shankarpali Sweet - Mithai,₹75,39% OFF,?q=snacks&nc=as
Namkeen - Lite Chiwda,₹56.4,38% OFF,?q=snacks&nc=as
Khatta Meetha,₹120,31% OFF,?q=snacks&nc=as
Gujarati Besan Papdi,₹67,6% OFF,?q=snacks&nc=as
West Indies Hot N Sweet Potato Chips - Crispy Chips & Snacks,₹80,₹4 OFF,?q=snacks&nc=as
Quinoa Puffs - Onion Masala,₹76.8,37% OFF,?q=snacks&nc=as
Tamil Nadu Madras Mixture,₹65,10% OFF,?q=snacks&nc=as
Chaat Papdi - Crispy,₹150,22% OFF,?q=snacks&nc=as
Mixture Namkeen,₹42.3,25% OFF,?q=snacks&nc=as
Makhana - Cream & Onion,₹116.4,₹11 OFF,?q=snacks&nc=as
"Chegodi, Telugu Speciality Snacks",₹69,33% OFF,?q=snacks&nc=as
Tapioca Chips Chilly,₹40,37% OFF,?q=snacks&nc=as
"Cornflakes Mixture - Namkeen, No Transfats Or Cholesterol, Evening Teatime Snack",₹49.5,,?q=snacks&nc=as
Namkeen - Tasty Nuts Spiced Coated Fried Peanuts,₹95,,?q=snacks&nc=as
Phalhari Chiwda Namkeen,₹50,,?q=snacks&nc=as
Masala Peanut,₹65,,?q=snacks&nc=as
Chana Jor Garam,₹45,,?q=snacks&nc=as
All In One Mixture,₹114,,?q=snacks&nc=as
Nacho Chips - Nacho Cheese Flavour,₹112.8,,?q=snacks&nc=as
Bhujia Sev,₹164.5,,?q=snacks&nc=as
Good Day Chocochip Cookies,₹93.34,,?q=snacks&nc=as
"Chekkalu, Telugu Speciality Snacks",₹69,,?q=snacks&nc=as
Vacuum Evaporated Iodised Edible Common Salt,₹27,4% OFF,?q=grocery&nc=as
Organic - Raw Peanuts/Kadalekayi,₹108.9,20% OFF,?q=grocery&nc=as
"Indian Cashew Whole - Premium & Hand Picked, 100% Natural",₹537.46,23% OFF,?q=grocery&nc=as
"American Pistachios - Roasted & Salted, 100% Natural, Premium, No Additives",₹678.3,15% OFF,?q=grocery&nc=as
"Indian Roasted Flax Seeds - Premium & Hand Picked, 100% Natural",₹53.45,73% OFF,?q=grocery&nc=as
