Product_Name,Price,Discount,Category
"Energy Drink - Caffeinated Beverage, Rich In Vitamin B, Berry Blast",60,0,beverages
Zero Sugar Mojito Non-Alcoholic Beverage Cocktail Mixer,99,0,beverages
"Sparkling Beverage - Ginger Ale, Finely Crafted, Natural Flavour",480,0,beverages
"Coconut Drink - Real Fruit Juice, Ready To Serve Beverage, Coco Litchi",40,0,beverages
Fruit Beverage - Ready To Serve,24,0,beverages
Barista Soy Edition Beverage,161,0,beverages
"The Green Edition Energy Drink - Dragon Fruit Flavour, Caffeinated Beverage",125,0,beverages
The New Old Fashioned Cocktail Mixer - Ready To Serve Fruit Beverage,792,0,beverages
Enriched Soy Beverage - Sweetened Regular Malt,390,0,beverages
Lychee Drink Fruit Beverage,30,0,beverages
100% Tender Coconut Water,109,39,beverages
Fruit Juice - Orange Drink,435,0,beverages
Tender Coconut Water - With Pulpy Malai,49,18,beverages
Diet Coke Soft Drink,228,12,beverages
Fresh 'N' Juicy Mango Drink,37,6,beverages
Instant Drink Mix - Mango,246,12,beverages
Valencia Orange Juice - 100% Cold Pressed,39,70,beverages
Soft Drink,107,11,beverages
Soft Drink,142,28,beverages
Mango Juice - 100% Cold Pressed,75,24,beverages
Apple Juice Drink,9,6,beverages
Juice - Sparkling Apple,126,14,beverages
Sparkling Water - Club Soda,56,6,beverages
Aromatic Spiced Bitters - Non-alcoholic,1250,59,beverages
Berry Delight Juice - 100% Cold Pressed,69,15,beverages
Orange Bitters - Non-alcoholic,1250,25,beverages
Fruit Juice - Mango,118,0,beverages
Swing Juicier Drink - Lush Lychee,60,0,beverages
Mango Drink,149,16,beverages
"Apple Juice - Rich In Vitamin D, No Added Preservatives",120,6,beverages
Soft Drink With Real Lemon Juice,40,25,beverages
Sugar Free Energy Drink,417,15,beverages
Fizz Jeera Masala Soda,89,19,beverages
Soft Drink - Lime & Lemoni Flavoured,74,6,beverages
Soft Drink,144,17,beverages
Soft Drink - Refreshing,97,14,beverages
Club Soda - Evervess,18,0,beverages
Plant-Based Soy Beverage - Original,272,0,beverages
Plant-Based Soy Beverage - Elaichi,160,0,beverages
"Energy Drink - Caffeinated Beverage, Rich In Vitamin B, Berry Blast",60,0,beverages
Zero Sugar Mojito Non-Alcoholic Beverage Cocktail Mixer,99,0,beverages
"Sparkling Beverage - Ginger Ale, Finely Crafted, Natural Flavour",480,0,beverages
"Coconut Drink - Real Fruit Juice, Ready To Serve Beverage, Coco Litchi",40,0,beverages
Fruit Beverage - Ready To Serve,24,0,beverages
Barista Soy Edition Beverage,161,0,beverages
"The Green Edition Energy Drink - Dragon Fruit Flavour, Caffeinated Beverage",125,0,beverages
The New Old Fashioned Cocktail Mixer - Ready To Serve Fruit Beverage,792,0,beverages
Enriched Soy Beverage - Sweetened Regular Malt,390,0,beverages
Lychee Drink Fruit Beverage,30,0,beverages
Butter Murukku,58,10,snacks
Moong Dal Namkeen,570,10,snacks
Ribbon Pakoda,58,10,snacks
Namkeen - Kodubale,58,6,snacks
Namkeen - Khatta Meetha,56,10,snacks
Namkeen - Mini Bhakarwadi,130,34,snacks
Madras Mixture,58,37,snacks
Murukku,65,20,snacks
Butter Murukku,69,6,snacks
Kerala Rice Murukku,79,6,snacks
Namkeen - Tasty Nuts,165,39,snacks
Namkeen - Masala Kaju,100,17,snacks
Tasty Peanuts - Spice Coated,117,10,snacks
Namkeen - Salted Peanut,56,31,snacks
Namkeen - Lite Chiwda,9,6,snacks
Ragi Sticks - Achari Masala,76,18,snacks
"Kerala Banana Chips - Original Style, Thin & Crispy, Delicious",157,39,snacks
Khara Boondi,58,20,snacks
Shankarpali Sweet - Mithai,75,39,snacks
Namkeen - Lite Chiwda,56,38,snacks
Khatta Meetha,120,31,snacks
Gujarati Besan Papdi,67,6,snacks
West Indies Hot N Sweet Potato Chips - Crispy Chips & Snacks,80,4,snacks
Quinoa Puffs - Onion Masala,76,37,snacks
Tamil Nadu Madras Mixture,65,10,snacks
Chaat Papdi - Crispy,150,22,snacks
Mixture Namkeen,42,25,snacks
Makhana - Cream & Onion,116,11,snacks
"Chegodi, Telugu Speciality Snacks",69,33,snacks
Tapioca Chips Chilly,40,37,snacks
"Cornflakes Mixture - Namkeen, No Transfats Or Cholesterol, Evening Teatime Snack",49,0,snacks
Namkeen - Tasty Nuts Spiced Coated Fried Peanuts,95,0,snacks
Phalhari Chiwda Namkeen,50,0,snacks
Masala Peanut,65,0,snacks
Chana Jor Garam,45,0,snacks
All In One Mixture,114,0,snacks
Nacho Chips - Nacho Cheese Flavour,112,0,snacks
Bhujia Sev,164,0,snacks
Good Day Chocochip Cookies,93,0,snacks
"Chekkalu, Telugu Speciality Snacks",69,0,snacks
Butter Murukku,58,10,snacks
Moong Dal Namkeen,570,10,snacks
Ribbon Pakoda,58,10,snacks
Namkeen - Kodubale,58,6,snacks
Namkeen - Khatta Meetha,56,10,snacks
Namkeen - Mini Bhakarwadi,130,34,snacks
Madras Mixture,58,37,snacks
Murukku,65,20,snacks
Butter Murukku,69,6,snacks
Kerala Rice Murukku,79,6,snacks
